entry,sym,structure,prem,K,spot0,spot_exp,ret
2024-04-01,ACC,CALLSPREAD,48.85,2560.0,2563.35,2573.15,-0.7334738591566405
2024-04-01,TATACONSUM,CALLSPREAD,14.850000000000001,1100.0,1095.1,1106.1,-0.5990253763613664
2024-04-01,MPHASIS,CALLSPREAD,56.849999999999994,2450.0,2472.85,2232.85,-1.0
2024-04-26,OFSS,CALLSPREAD,163.1,7500.0,7534.95,7407.2,-1.0
2024-04-26,ZYDUSLIFE,CALLSPREAD,14.850000000000001,960.0,956.4,1024.25,1.6434113390635126
2024-04-26,CIPLA,CALLSPREAD,26.200000000000003,1420.0,1420.3,1462.2,0.5870872130414131
2024-04-26,WIPRO,CALLSPREAD,7.1,470.0,468.95,436.15,-1.0
2024-05-31,VOLTAS,CALLSPREAD,26.6,1370.0,1368.7,1500.55,1.6047261009667027
2024-05-31,NAUKRI,CALLSPREAD,88.79999999999998,5750.0,5729.8,6726.2,1.7874409062527878
2024-05-31,PNB,CALLSPREAD,3.1000000000000005,127.5,128.6,119.05,-1.0
2024-05-31,ONGC,CALLSPREAD,4.949999999999999,267.5,266.5,267.2,-1.0
2024-06-28,RECLTD,CALLSPREAD,8.049999999999999,530.0,527.7,607.95,1.4210387207612003
2024-06-28,PFC,CALLSPREAD,7.85,490.0,487.75,525.05,1.4786004553707814
2024-06-28,SAIL,CALLSPREAD,2.6500000000000004,150.0,149.85,142.55,-1.0
2024-06-28,PNB,CALLSPREAD,1.7999999999999998,125.0,124.15,117.72,-1.0
2024-06-28,NMDC,CALLSPREAD,4.85,247.5,247.85,229.87,-1.0
