entry,sym,structure,prem,K,spot0,spot_exp,ret
2024-04-26,ZYDUSLIFE,ATM,31.6,960.0,956.4,1024.25,0.9953416149068322
2024-04-26,CIPLA,ATM,40.35,1420.0,1420.3,1462.2,0.030525030525031565
2024-04-26,WIPRO,ATM,13.5,470.0,468.95,436.15,-1.0
2024-05-31,VOLTAS,ATM,58.2,1370.0,1368.7,1500.55,1.2202380952380942
2024-05-31,NAUKRI,ATM,222.6,5750.0,5729.8,6726.2,3.3420244989458507
2024-05-31,PNB,ATM,7.9,127.5,128.6,119.05,-1.0
2024-05-31,ONGC,ATM,10.2,267.5,266.5,267.2,-1.0
2024-06-28,RECLTD,ATM,22.9,530.0,527.7,607.95,2.3170212765957467
2024-06-28,PFC,ATM,21.5,490.0,487.75,525.05,0.5859728506787312
2024-06-28,SAIL,ATM,6.9,150.0,149.85,142.55,-1.0
2024-06-28,PNB,ATM,4.5,125.0,124.15,117.72,-1.0
2024-06-28,NMDC,ATM,10.1,247.5,247.85,229.87,-1.0
