entry,sym,net,reason,gapfreq,hi52,beta,oi,win,sl
2019-12-27,APOLLOHOSP,0.051307800471051546,tp,14.0,-0.0757659443126808,0.3320676856460407,1685500.0,True,False
2019-12-27,GODREJCP,0.02502176890362595,tp,6.0,-0.1743736237576623,0.9135376596153446,4121600.0,True,False
2019-12-27,EICHERMOT,0.02288591242800264,tp,27.0,-0.07418921797982436,1.116914093410938,276210.0,True,False
2019-12-27,SUNPHARMA,0.021198855006426043,tp,20.0,-0.11241314943482317,1.279872931888715,63677500.0,True,False
2020-01-31,NMDC,-0.12583631601920553,sl,34.0,-0.17172812725958075,0.8191176934581567,37488000.0,False,True
2020-01-31,EICHERMOT,-0.05850305382614862,sl,28.0,-0.128173417156206,0.5877733497595273,215340.0,False,True
2020-01-31,SBIN,-0.06858233182456697,sl,23.0,-0.13907551733405,1.9454902805293275,116943000.0,False,True
2020-01-31,BPCL,0.04006866858026059,tp,27.0,-0.17112005856515378,1.191064107585352,29424600.0,True,False
2020-07-31,JUBLFOOD,0.043179725900653554,tp,36.0,-0.11774909443395742,0.7673295291687899,1985500.0,True,False
2020-07-31,TATAPOWER,0.022565573770491842,tp,55.0,-0.274888558692422,0.905986281721394,51543000.0,True,False
2020-07-31,HEROMOTOCO,0.034102405268151004,tp,31.0,-0.06449367419034868,0.5565257071765636,1995000.0,True,False
2020-07-31,BHARTIARTL,-0.0558279288230511,sl,45.0,-0.07332384699087646,0.48798596753460804,78695265.0,False,True
2020-08-28,MUTHOOTFIN,-0.05307261351006465,sl,38.0,-0.1080227648246741,0.9842037310924318,2202750.0,False,True
2020-08-28,APOLLOHOSP,0.01971885415728314,tp,31.0,-0.07378462565357657,0.6775757009065768,1034000.0,True,False
2020-08-28,BHARTIARTL,0.045833269744372296,tp,41.0,-0.12245752071649785,0.597991757785207,104226108.0,True,False
2020-08-28,ULTRACEMCO,-0.051216141867662324,sl,25.0,-0.13021000234997537,0.8273558327400602,2107800.0,False,True
2020-09-25,JINDALSTEL,0.04464785937057003,tp,91.0,-0.24925500212856544,1.7486327517058842,24390000.0,True,False
2020-09-25,TATAPOWER,0.02155639097744355,tp,54.0,-0.20180045011252812,1.1139527971105156,67864500.0,True,False
2020-09-25,AUROPHARMA,0.03707253752496309,tp,50.0,-0.1862976358966295,0.9376607352435583,13990600.0,True,False
2020-09-25,JSWSTEEL,0.03222197475872324,tp,47.0,-0.08351760503486994,1.3921525196600741,42255000.0,True,False
2020-09-25,MUTHOOTFIN,0.03878524229074898,tp,39.0,-0.1998531301633928,1.1274216960287915,4101000.0,True,False
2020-10-30,HEROMOTOCO,0.04351762192951225,tp,29.0,-0.15823856400113878,0.747757948482915,3044400.0,True,False
2020-10-30,BRITANNIA,0.022247131800755215,tp,20.0,-0.12615280374418103,0.594550365952021,1088800.0,True,False
2020-10-30,LUPIN,0.027660675142481383,tp,27.0,-0.16097291829509408,0.9049547013518043,6808500.0,True,False
2020-10-30,JUBLFOOD,0.026822978021222466,tp,32.0,-0.1027185983384058,0.8418047729914253,1671500.0,True,False
2020-10-30,TORNTPHARM,0.019728618741476578,tp,25.0,-0.1502359076235411,0.5347179569311368,1071750.0,True,False
2020-11-27,RELIANCE,0.03130705864181638,tp,33.0,-0.16669884376944033,0.8372294565117725,34419285.0,True,False
2020-11-27,MUTHOOTFIN,0.030069395559031764,tp,41.0,-0.15502111253901218,0.9436072362421574,5697000.0,True,False
2020-11-27,LUPIN,0.020496992648696977,tp,27.0,-0.1743988229343879,0.7567999889734981,9225900.0,True,False
2020-11-27,CIPLA,0.02240197913880715,tp,29.0,-0.08615422216790913,0.7606375092659688,16976700.0,True,False
2021-01-01,AMBUJACEM,0.0415193721438506,tp,36.0,-0.05995517370190506,0.6853983683339548,17880000.0,True,False
2021-01-01,M&M,0.04618582388485304,tp,46.0,-0.026374933897408637,1.0825002240051074,11764200.0,True,False
2021-01-01,BPCL,0.03388674824264515,tp,36.0,-0.2282499497689371,1.186951957390355,24325200.0,True,False
2021-01-01,ACC,0.028539477707785532,tp,32.0,-0.054855491329479866,0.8424537106183058,3213500.0,True,False
2021-01-29,SAIL,0.09448611111111116,tp,68.0,-0.274102079395085,1.5557320105684986,93594000.0,True,False
2021-01-29,NMDC,0.03791789273849078,tp,55.0,-0.1826997672614431,1.5682541592803037,38585300.0,True,False
2021-01-29,GODREJPROP,0.05398431855174868,tp,40.0,-0.1500539883924955,1.1776628216464309,1311700.0,True,False
2021-01-29,BAJFINANCE,0.0676260102865539,tp,71.0,-0.10815086638645233,1.471794882753265,3980500.0,True,False
2021-01-29,ASIANPAINT,0.020248888980756052,tp,25.0,-0.1512902829675632,0.9577050217949432,5069700.0,True,False
2021-02-26,BALKRISIND,0.021696672437007014,tp,42.0,-0.15233695652173906,0.8764837028771056,2526400.0,True,False
2021-02-26,TECHM,0.019408163265306144,tp,33.0,-0.14540155440414504,0.6916078280447601,11078400.0,True,False
2021-02-26,ASIANPAINT,0.03376799511109174,tp,25.0,-0.19621774292581096,0.7598179547064796,6834900.0,True,False
2021-02-26,CIPLA,0.02840246601327856,tp,31.0,-0.08599664798011908,0.4376229212814908,11785800.0,True,False
2021-02-26,MARUTI,0.04728240680372642,tp,34.0,-0.16207160286994204,0.8338434315939485,3209300.0,True,False
2021-03-26,BANKBARODA,0.04384933426769455,tp,65.0,-0.2489473684210527,1.5259712611990388,109266300.0,True,False
2021-03-26,PNB,0.05839226519337004,tp,54.0,-0.17539863325740312,1.30333473695745,194384000.0,True,False
2021-03-26,IDFCFIRSTB,-0.06436805555555558,sl,68.0,-0.152317880794702,0.8334762206373187,143963000.0,False,True
2021-03-26,DLF,0.02349849103497259,tp,55.0,-0.1420956442278405,1.6318872672906368,23776500.0,True,False
2021-03-26,ASHOKLEY,0.035633231574356716,tp,64.0,-0.16068814055636893,1.618102529042831,37728000.0,True,False
2021-04-30,DLF,0.041707493956486874,tp,51.0,-0.2439841608285106,1.8503562607216577,29571300.0,True,False
2021-04-30,IDFCFIRSTB,0.028493087557603602,tp,65.0,-0.20161883738042685,1.199396685421897,144561500.0,True,False
2021-04-30,BANKBARODA,0.054928411633109575,tp,65.0,-0.2942105263157895,1.646906155139321,111852000.0,True,False
2021-04-30,M&M,0.03445724661604499,tp,41.0,-0.18819682675814753,1.3699114512688164,10561600.0,True,False
2021-04-30,PFC,0.021038567493112947,tp,39.0,-0.2185145317545747,1.3822012320395625,30981400.0,True,False
2021-05-28,JINDALSTEL,0.027252134605725842,tp,65.0,-0.19114361161893156,1.3917117070309568,32925000.0,True,False
2021-05-28,CHOLAFIN,0.024624599615631015,tp,57.0,-0.07531522383007527,1.4017890376646462,10263750.0,True,False
2021-05-28,NAUKRI,0.021726260962471433,tp,44.0,-0.18946371386044825,0.6035188287738621,1415125.0,True,False
2021-05-28,TATACONSUM,0.027263692613245794,tp,19.0,-0.04263565891472876,0.8141715139382274,6696000.0,True,False
2021-06-25,ADANIPORTS,0.01986095025465706,tp,43.0,-0.18811600770363668,1.7323555555413053,79678750.0,True,False
2021-06-25,BHEL,0.03787195121951237,tp,68.0,-0.15190691661279898,1.9772116624063147,84640500.0,True,False
2021-06-25,AUROPHARMA,0.04218467336683418,tp,25.0,-0.09283441758867939,0.45746553277524493,11668150.0,True,False
2021-06-25,M&M,-0.05662235018667339,sl,30.0,-0.15292667238421953,1.358247725983375,9618700.0,False,True
2021-07-30,BHEL,-0.05562184873949583,sl,62.0,-0.23076923076923073,1.4298222362072754,102018000.0,False,True
2021-07-30,ADANIENT,0.08014073503135621,tp,56.0,-0.16308459170209644,1.6334013330736947,14032000.0,True,False
2021-07-30,BANKBARODA,0.03133830845771135,tp,61.0,-0.15368421052631576,1.243980944940696,168199200.0,True,False
2021-07-30,CIPLA,0.01995040645970858,tp,14.0,-0.0683169826665988,0.03815760663175702,13014950.0,True,False
2021-07-30,CHOLAFIN,0.10558569783268779,tp,37.0,-0.19175763730219175,1.3831723894650227,12530000.0,True,False
2021-08-27,SAIL,0.026789653698161664,tp,70.0,-0.20388019060585438,2.207247939030412,143583000.0,True,False
2021-08-27,NMDC,0.0202418300653594,tp,41.0,-0.249448123620309,1.3321016086102144,72815600.0,True,False
2021-08-27,JINDALSTEL,0.026915716011273516,tp,60.0,-0.2432459882185659,1.991145239752576,35555000.0,True,False
2021-08-27,BHEL,0.022897058823529437,tp,61.0,-0.29670329670329665,1.9116642178069831,110796000.0,True,False
2021-10-01,TATASTEEL,0.01974943428067355,tp,44.0,-0.14083764457771764,2.0903277802430607,46652250.0,True,False
2021-10-01,APOLLOHOSP,0.020378283693182397,tp,23.0,-0.12566546621780317,0.9534056026071472,2540000.0,True,False
2021-10-01,ADANIENT,0.04613666905419678,tp,48.0,-0.1403313297170503,1.288934537571738,26544000.0,True,False
2021-10-01,DIVISLAB,0.07978313875400345,tp,11.0,-0.07418743902205727,0.8863682527966866,2339400.0,True,False
2021-10-01,GODREJCP,0.023737228061598503,tp,7.0,-0.0952317763623497,0.34016490023846435,4798000.0,True,False
2021-10-29,JUBLFOOD,0.046994172714274085,tp,29.0,-0.1829613710255139,1.3713101771286376,1669125.0,True,False
2021-10-29,COFORGE,0.04224670230993122,tp,41.0,-0.17586614608586182,1.4410716271796378,541800.0,True,False
2021-10-29,TORNTPHARM,0.042203408773400564,tp,13.0,-0.10309181467907158,0.4870598891793357,650750.0,True,False
2021-10-29,COALINDIA,0.03151291400790035,tp,32.0,-0.17082388510959934,1.0930703544735318,65196600.0,True,False
2021-10-29,PFC,0.019645645645645637,tp,27.0,-0.1193388429752067,1.3275692978352354,37262000.0,True,False
2021-11-26,BHEL,0.01997315436241609,tp,68.0,-0.22947640594699414,1.5602606454558274,99120000.0,True,False
2021-11-26,HINDALCO,0.03329322499701293,tp,44.0,-0.2301536197221966,2.0066060909050027,30152675.0,True,False
2021-11-26,COALINDIA,0.03332642487046622,tp,31.0,-0.2219702695893171,1.0552711393881253,55146000.0,True,False
2021-11-26,BALKRISIND,0.027223765929061172,tp,15.0,-0.19549206114215933,1.0453550355096684,1449800.0,True,False
2021-11-26,KOTAKBANK,0.025037965688762598,tp,9.0,-0.11136168869243601,1.1440264995496936,12624400.0,True,False
2021-12-31,BANKBARODA,0.022086269744835962,tp,52.0,-0.2283169245194563,1.5940048215209133,133239600.0,True,False
2021-12-31,GODREJPROP,0.02613693387199667,tp,34.0,-0.24932162809257774,1.8572147029716377,3183050.0,True,False
2021-12-31,APOLLOHOSP,-0.08404985569914014,sl,23.0,-0.1205704068727923,0.8443127036615865,2264875.0,False,True
2021-12-31,NAUKRI,0.020245191877627744,tp,32.0,-0.20688187300461158,1.3407365565952742,1146250.0,True,False
2021-12-31,BAJAJFINSV,0.035681384599956956,tp,20.0,-0.13726585132460323,1.27687770997798,552550.0,True,False
2022-01-28,BAJAJFINSV,0.03206395251547878,tp,24.0,-0.2009831294978175,1.6044101025102278,759750.0,True,False
2022-01-28,APOLLOHOSP,0.038325780233708584,tp,26.0,-0.2155510008285726,0.9054133702233256,2621250.0,True,False
2022-01-28,MPHASIS,0.022950422461123776,tp,19.0,-0.14408723179739713,1.4106065193327864,1384425.0,True,False
2022-01-28,VOLTAS,0.029050229307709174,tp,20.0,-0.14177006410016113,1.0167169452444542,3796000.0,True,False
2022-04-01,HINDALCO,0.02151898402723218,tp,40.0,-0.0926585887384177,0.4750973995516136,28596075.0,True,False
2022-04-01,MARUTI,0.021977035923487764,tp,16.0,-0.13558685971938278,1.1132924747160777,2241800.0,True,False
2022-04-01,COALINDIA,0.03958744993324437,tp,35.0,-0.0564373897707231,0.6574104235712843,34305600.0,True,False
2022-07-29,ASHOKLEY,0.03434511503834614,tp,33.0,-0.01704359226483132,0.986235643644062,40790000.0,True,False
2022-07-29,MARUTI,0.022546108992664515,tp,16.0,-0.017318733021536414,0.7039094190815658,3920200.0,True,False
2022-07-29,RELIANCE,0.021839665547853992,tp,13.0,-0.10668156979632382,1.1163004105282228,30898000.0,True,False
2022-08-26,SUNPHARMA,0.02775831735649026,tp,7.0,-0.061096992799661076,0.7585271259909965,20817300.0,True,False
2022-08-26,HEROMOTOCO,-0.05631210953311161,sl,14.0,-0.030886516355697946,0.8563730303364722,3220500.0,False,True
2022-08-26,TATACONSUM,0.04265054795368706,tp,12.0,-0.08756567425569173,0.8579792550276544,7390800.0,True,False
2022-09-30,CHOLAFIN,-0.024616688218879745,expiry,37.0,-0.08987859266600606,1.1045669574351737,6153750.0,False,False
2022-09-30,ASHOKLEY,0.022755287992190065,tp,35.0,-0.07966457023060791,1.0701171828513585,49870000.0,True,False
2022-09-30,ABB,0.029847004652810205,tp,17.0,-0.0803796156465606,0.7595991687744341,1363000.0,True,False
2022-09-30,SIEMENS,0.03789917492045791,tp,15.0,-0.1069031947343072,0.9270516776771277,1596100.0,True,False
2022-10-28,ADANIENT,0.07311287546582446,tp,36.0,-0.13067745670756303,0.9321543924476573,14146000.0,True,False
2022-10-28,BAJFINANCE,0.028179676412148802,tp,26.0,-0.10613249435465455,1.4575437834041691,4937375.0,True,False
2022-10-28,GODREJCP,0.019256502457149716,tp,22.0,-0.17310074830269095,0.6984889691377668,6247000.0,True,False
2022-10-28,TATACONSUM,0.029360407417080236,tp,12.0,-0.10526930716205163,0.7880424242254199,8865000.0,True,False
2022-11-25,COALINDIA,-0.07576435304198803,sl,27.0,-0.09271137026239062,0.7096321790953082,26455800.0,False,True
2022-11-25,EICHERMOT,-0.06359641973511865,sl,15.0,-0.10206481965499214,0.7800450597008782,2892225.0,False,True
2022-11-25,ZYDUSLIFE,0.02159538214594392,tp,9.0,-0.10508287292817686,0.49756906061999895,9489600.0,True,False
2022-11-25,POLYCAB,0.04556082602282452,tp,23.0,-0.08377345069796394,0.8706205021040216,1093800.0,True,False
2022-12-30,AMBUJACEM,-0.054334596438044724,sl,28.0,-0.11039946064385642,1.8623587653713676,81608400.0,False,True
2022-12-30,ADANIPORTS,-0.058912948461118164,sl,30.0,-0.1517070909933571,1.600355644058199,63378125.0,False,True
2022-12-30,DLF,-0.06766666666666665,sl,31.0,-0.11245735795788736,1.5580482818614578,42523800.0,False,True
2022-12-30,TRENT,-0.05372083763456714,sl,31.0,-0.13186531814108304,1.070374439941105,3909200.0,False,True
2022-12-30,ABB,0.040396794848069795,tp,22.0,-0.19993485534926414,0.9387277669430262,1839250.0,True,False
2023-01-27,PNB,0.0536875,tp,36.0,-0.14879467996674978,1.8163279500782938,226272000.0,True,False
2023-01-27,BANKBARODA,0.06724644549763037,tp,43.0,-0.18343653250773995,1.4583146665772577,98982000.0,True,False
2023-01-27,BHEL,0.07241944255608435,tp,34.0,-0.19617486338797818,1.67440496007104,86572500.0,True,False
2023-01-27,INDUSINDBK,-0.06884634536724166,sl,32.0,-0.11046074747874246,1.3232782676194264,22424400.0,False,True
2023-02-24,BANKBARODA,0.02443464262717321,tp,40.0,-0.19865841073271417,2.3010200628799358,102035700.0,True,False
2023-02-24,PNB,0.05333646812957171,tp,34.0,-0.20448877805486276,2.2358270759023426,195264000.0,True,False
2023-02-24,BHEL,0.06068359941944845,tp,34.0,-0.24699453551912565,1.7845723204451014,71946000.0,True,False
2023-02-24,RECLTD,0.02014537444933928,tp,10.0,-0.17604355716878406,1.542696084531202,44376000.0,True,False
2023-02-24,SAIL,0.027194361127774624,tp,42.0,-0.25313620071684584,1.7620356504056374,105672000.0,True,False
2023-04-28,HCLTECH,0.021665542755455625,tp,5.0,-0.07414151925078039,0.9746488502208264,9747500.0,True,False
2023-04-28,GODREJCP,0.035052819023615345,tp,10.0,-0.07948756745851626,-0.03800735794067524,9352000.0,True,False
2023-04-28,NTPC,0.022740590619571566,tp,5.0,-0.05161998901702369,0.4449291368577158,70138500.0,True,False
2023-05-26,PNB,0.02093419740777669,tp,34.0,-0.1662510390689942,1.5089550717648565,233648000.0,True,False
2023-05-26,JINDALSTEL,0.019312798016403065,tp,33.0,-0.14393011674422418,1.259140453378646,22983750.0,True,False
2023-05-26,DRREDDY,0.021651558322009268,tp,3.0,-0.08669455731929454,0.5866159015452459,3201625.0,True,False
2023-05-26,LT,0.02076983610967853,tp,4.0,-0.06869479882237484,0.9243032528018797,13638000.0,True,False
2023-06-30,BANDHANBNK,-0.07043303204601481,sl,22.0,-0.2080689767366195,1.0344919796739591,41255000.0,False,True
2023-06-30,PERSISTENT,-0.05858166942050047,sl,20.0,-0.040393524046038465,1.24171451039558,1205050.0,False,True
2023-06-30,MARICO,0.011464854732895824,tp,3.0,-0.04510470735636307,1.0980981326202306,9993600.0,True,False
2023-06-30,AUBANK,0.03947049441786288,tp,16.0,-0.03445620789220405,0.4093235236102144,11278000.0,True,False
2023-07-28,PERSISTENT,0.02037885141487028,tp,18.0,-0.09572567935431497,1.2087845406212394,1132075.0,True,False
2023-07-28,AUBANK,0.02112114947281374,tp,15.0,-0.0731940984863001,0.718114315171836,12210000.0,True,False
2023-07-28,HCLTECH,0.030428700076545412,tp,3.0,-0.06829718504845395,1.1551183171923267,11818100.0,True,False
2023-07-28,GODREJCP,-0.03916355810616923,expiry,4.0,-0.052731720576243535,0.8963532979398579,6736000.0,False,False
2023-09-01,NAUKRI,0.019241029543724975,tp,18.0,-0.1054401723297026,1.5115081456325348,1566900.0,True,False
2023-09-01,MUTHOOTFIN,0.022054755043227625,tp,8.0,-0.08794217500821377,0.5692051806249085,6361850.0,True,False
2023-09-01,TORNTPHARM,0.019672983411597955,tp,3.0,-0.13656102300808526,0.3308317783835403,2230500.0,True,False
2023-09-01,INDIGO,0.022097659600539,tp,8.0,-0.10254577445428048,1.0345868962259124,6793500.0,True,False
2023-09-29,PFC,-0.06311792545848949,sl,25.0,-0.17316158486874278,2.1597020460432215,62689750.0,False,True
2023-09-29,GODREJPROP,0.025909555768616088,tp,15.0,-0.11352239567102018,1.5036869407298665,3760100.0,True,False
2023-09-29,ABB,0.022317820438239155,tp,14.0,-0.10872993583788793,0.7665525761273368,1187500.0,True,False
2023-09-29,ASHOKLEY,-0.06545257528848869,sl,6.0,-0.05980418100026452,0.8900900112264589,76835000.0,False,True
2023-10-27,PNB,0.022144996596323963,tp,37.0,-0.1219366407650927,2.020320162586273,265040000.0,True,False
2023-10-27,BANKBARODA,0.03186978508217442,tp,18.0,-0.097444089456869,1.7344435101598241,117816075.0,True,False
2023-10-27,MPHASIS,0.03215565782985419,tp,15.0,-0.1544326417154771,0.9805978056349938,2515150.0,True,False
2023-10-27,TATAPOWER,0.026603513174403903,tp,10.0,-0.12256880733944953,1.8147096623922958,84270375.0,True,False
2023-10-27,IDFCFIRSTB,-0.06043450663589156,sl,15.0,-0.11355498721227619,1.0047800784818648,228075000.0,False,True
2023-12-01,CIPLA,0.023651085969113805,tp,4.0,-0.05101880877742937,0.7382331054436582,11036350.0,True,False
2023-12-01,CHOLAFIN,0.021710268033977242,tp,10.0,-0.09701136634607743,1.1938600859611637,12475000.0,True,False
2023-12-01,BALKRISIND,0.022280607893308324,tp,12.0,-0.030009025270757994,0.6277705061132094,1621500.0,True,False
2023-12-01,BAJFINANCE,0.019518543368272634,tp,8.0,-0.10695965320958456,0.9602374171520932,6879625.0,True,False
2023-12-29,ASHOKLEY,0.020567021567021393,tp,6.0,-0.03069595130987024,0.7482869407758974,83315000.0,True,False
2023-12-29,HDFCLIFE,-0.056564071122011006,sl,10.0,-0.08254816481507532,0.41059681427837313,20875800.0,False,True
2023-12-29,DRREDDY,0.022122278975695076,tp,4.0,-0.019799900874488685,0.4029959597299766,1748500.0,True,False
2024-01-29,MUTHOOTFIN,0.019717985354527623,tp,10.0,-0.07920271025885606,1.1065418527210713,5506050.0,True,False
