entry,sym,structure,prem,K,spot0,spot_exp,ret
2022-07-29,ASHOKLEY,OTM,5.0,152.5,149.95,147.15,-1.0
2022-07-29,MARUTI,OTM,199.75,8900.0,8772.15,8728.55,-1.0
2022-07-29,RELIANCE,OTM,53.35,2560.0,2517.55,2632.45,0.3429101019462431
2022-08-26,SUNPHARMA,OTM,21.75,900.0,886.7,931.1,0.39149888143176825
2022-08-26,HEROMOTOCO,OTM,72.9,2900.0,2841.15,2540.4,-1.0
2022-08-26,TATACONSUM,OTM,22.6,820.0,807.55,793.15,-1.0
2022-09-30,CHOLAFIN,OTM,21.3,750.0,734.65,717.3,-1.0
2022-09-30,ASHOKLEY,OTM,4.9,157.5,153.65,147.8,-1.0
2022-09-30,ABB,OTM,95.75,3150.0,3105.65,3045.2,-1.0
2022-09-30,SIEMENS,OTM,137.05,2840.0,2781.55,2880.95,-0.7041623169978448
2022-10-28,ADANIENT,OTM,98.35,3400.0,3340.85,3911.1,4.145293380380233
2022-10-28,BAJFINANCE,OTM,174.65,7200.0,7046.0,6775.9,-1.0
2022-10-28,GODREJCP,OTM,19.8,850.0,834.3,863.1,-0.3578431372549008
2022-10-28,TATACONSUM,OTM,13.85,780.0,765.8,793.55,-0.06228373702422455
2022-11-25,COALINDIA,OTM,4.85,237.5,233.4,221.85,-1.0
2022-11-25,EICHERMOT,OTM,82.7,3500.0,3435.5,3263.35,-1.0
2022-11-25,ZYDUSLIFE,OTM,15.75,415.0,404.95,416.1,-0.9327217125382249
2022-11-25,POLYCAB,OTM,49.65,2650.0,2576.2,2570.4,-1.0
2022-12-30,AMBUJACEM,OTM,14.15,540.0,527.8,458.65,-1.0
2022-12-30,ADANIPORTS,OTM,20.85,840.0,823.65,712.6,-1.0
2022-12-30,DLF,OTM,9.0,385.0,377.25,352.1,-1.0
2022-12-30,TRENT,OTM,33.35,1380.0,1356.2,1211.55,-1.0
2022-12-30,ABB,OTM,59.65,2750.0,2701.9,2871.1,1.0099585062240648
2023-01-27,PNB,OTM,2.85,52.0,51.2,48.25,-1.0
2023-01-27,BANKBARODA,OTM,6.5,162.5,158.25,155.5,-1.0
2023-01-27,BHEL,OTM,3.0,75.0,73.55,68.85,-1.0
2023-01-27,INDUSINDBK,OTM,37.0,1140.0,1124.6,1074.15,-1.0
2023-02-24,BANKBARODA,OTM,5.1,157.5,155.3,164.55,0.3041065482796914
2023-02-24,PNB,OTM,1.55,49.0,47.85,46.2,-1.0
2023-02-24,BHEL,OTM,2.25,70.0,68.9,70.25,-0.8951781970649896
2023-02-24,RECLTD,OTM,2.0,115.75,113.5,115.55,-1.0
