entry,exit,sym,side,gross,net,reason,margin,rom
2019-11-01,2019-11-28,ACC,1,-0.02236349554666328,-0.023363495546663282,expiry,0.22,-0.10619770703028765
2019-11-01,2019-11-11,PIDILITIND,1,-0.05380108602457845,-0.05480108602457845,sl,0.22,-0.24909584556626568
2019-11-01,2019-11-28,ULTRACEMCO,1,0.027104904469260394,0.026104904469260393,tp,0.22,0.11865865667845633
2019-11-29,2019-12-05,TITAN,1,0.020516782556442514,0.019516782556442513,tp,0.22,0.0887126479838296
2019-11-29,2019-12-18,SIEMENS,1,0.021317763671543366,0.020317763671543365,tp,0.22,0.09235347123428803
2019-11-29,2019-12-02,NMDC,1,0.03065693430656946,0.02965693430656946,tp,0.22,0.134804246848043
2019-11-29,2019-12-20,BRITANNIA,1,0.020537897310513475,0.019537897310513475,tp,0.22,0.08880862413869761
2019-11-29,2019-12-12,ASIANPAINT,1,0.025067928828118147,0.024067928828118146,tp,0.22,0.10939967649144612
2019-12-27,2020-01-03,VOLTAS,1,0.020965643890121566,0.019965643890121565,tp,0.22,0.09075292677327984
2019-12-27,2020-01-02,SUNPHARMA,1,0.022198855006426044,0.021198855006426043,tp,0.22,0.09635843184739111
2019-12-27,2020-01-14,HINDUNILVR,1,0.026144790153658004,0.025144790153658003,tp,0.22,0.11429450069844548
2019-12-27,2020-01-07,GODREJCP,1,0.026021768903625953,0.02502176890362595,tp,0.22,0.11373531319829978
2020-01-31,2020-02-03,NMDC,1,-0.12483631601920553,-0.12583631601920553,sl,0.22,-0.5719832546327525
2020-01-31,2020-02-04,TATASTEEL,1,0.026557711950970342,0.02555771195097034,tp,0.22,0.1161714179589561
2020-01-31,2020-02-06,RELIANCE,1,0.026398336446621595,0.025398336446621594,tp,0.22,0.11544698384827998
2020-01-31,2020-02-04,BPCL,1,0.04106866858026059,0.04006866858026059,tp,0.22,0.18213031172845723
2020-01-31,2020-02-10,EICHERMOT,1,-0.05750305382614862,-0.05850305382614862,sl,0.22,-0.2659229719370392
2020-07-31,2020-08-27,NESTLEIND,1,-0.02977113253722896,-0.030771132537228962,expiry,0.22,-0.13986878426013163
2020-07-31,2020-08-17,BHARTIARTL,1,-0.0548279288230511,-0.0558279288230511,sl,0.22,-0.25376331283205045
2020-07-31,2020-08-13,GODREJCP,1,0.024821929635225448,0.023821929635225447,tp,0.22,0.10828149834193385
2020-07-31,2020-08-04,JUBLFOOD,1,0.044179725900653555,0.043179725900653554,tp,0.22,0.19627148136660708
2020-08-28,2020-08-31,MUTHOOTFIN,1,-0.05207261351006465,-0.05307261351006465,sl,0.22,-0.24123915231847567
2020-08-28,2020-09-01,BHARTIARTL,1,0.0468332697443723,0.045833269744372296,tp,0.22,0.20833304429260135
2020-08-28,2020-09-03,WIPRO,1,0.03837018088799571,0.03737018088799571,tp,0.22,0.16986445858179866
2020-08-28,2020-08-31,ACC,1,-0.05501837513825947,-0.05601837513825947,sl,0.22,-0.2546289779011794
2020-09-25,2020-09-28,JINDALSTEL,1,0.04564785937057003,0.04464785937057003,tp,0.22,0.20294481532077288
2020-09-25,2020-09-28,TATAPOWER,1,0.022556390977443552,0.02155639097744355,tp,0.22,0.09798359535201615
2020-09-25,2020-09-28,AUROPHARMA,1,0.03807253752496309,0.03707253752496309,tp,0.22,0.16851153420437767
