entry,exit,sym,cycle,net,reason
2021-04-13,2021-04-19,IDFCFIRSTB,2021-04-29,-0.06107393715341958,sl
2021-04-13,2021-04-19,DLF,2021-04-29,-0.07542041691018886,sl
2021-04-13,2021-04-19,BHEL,2021-04-29,-0.05655555555555547,sl
2021-04-13,2021-04-19,BANKBARODA,2021-04-29,-0.07413540912382333,sl
2021-04-20,2021-04-22,DLF,2021-04-29,0.05030934639131368,tp
2021-04-20,2021-04-26,IDFCFIRSTB,2021-04-29,0.029541871921182294,tp
2021-04-20,2021-04-27,BANKBARODA,2021-04-29,0.02892125984251981,tp
2021-04-20,2021-04-27,INDUSINDBK,2021-04-29,0.04384065868972875,tp
2021-04-13,2021-04-29,PFC,2021-04-29,-0.025079963652885007,expiry
2021-04-30,2021-05-04,IDFCFIRSTB,2021-05-27,0.028493087557603602,tp
2021-05-05,2021-05-06,GODREJPROP,2021-05-27,0.02409150061000409,tp
2021-04-30,2021-05-07,DLF,2021-05-27,0.041707493956486874,tp
2021-04-30,2021-05-07,ULTRACEMCO,2021-05-27,0.03278946200072952,tp
2021-04-30,2021-05-10,M&M,2021-05-27,0.03445724661604499,tp
2021-05-10,2021-05-12,PNB,2021-05-27,0.045875,tp
2021-04-30,2021-05-17,HCLTECH,2021-05-27,0.021115331453530062,tp
2021-05-11,2021-05-17,TITAN,2021-05-27,0.01954533485777621,tp
